cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.025,25,False,241,131,131,131,0,0,2,-370.12690304489854,34746,"[-11.25, -9.25, 0]",112.1408920288086,0.0,85.81082916259766,1653452041219561216,
0,0.026,26,True,162,132,132,132,0,0,2,851.3165114738798,34908,"[-9.25, 8.5, 0]",64.31526184082031,0.0,58.53725051879883,1653452101270126080,
0,0.026,26,False,172,133,133,133,0,0,2,-298.28048869745817,35080,"[-11.25, -7.25, 0]",57.44129180908203,0.0,62.45833206176758,1653452165284072192,
0,0.026,26,False,747,134,134,134,0,0,2,-867.5986299766919,35827,"[-7.25, 10.0, 0]",236.31521606445312,0.0,253.53541564941406,1653452420309911552,
0,0.027,27,True,34,135,135,135,0,0,2,976.6989378752246,35861,"[-8.75, -9.25, 0]",26.684864044189453,0.0,17.793378829956055,1653452439817961472,
0,0.027,27,False,489,136,136,136,0,0,2,-619.6900057171893,36350,"[9.0, 8.5, 0]",158.55258178710938,0.0,173.20269775390625,1653452614492325376,
0,0.027,27,False,108,137,137,137,0,0,2,-230.26727960359815,36458,"[-8.25, 9.0, 0]",49.14674377441406,0.0,43.59992980957031,1653452659672542720,
0,0.027,27,False,403,138,138,138,0,0,2,-524.5591263915169,36861,"[-10.75, -7.75, 0]",149.1546173095703,0.0,149.2681884765625,1653452810398190592,
0,0.028,28,True,138,139,139,139,0,0,2,873.8904575226358,36999,"[-9.25, 9.0, 0]",58.355995178222656,0.0,55.102176666259766,1653452867121873152,
0,0.029,29,True,235,140,140,140,0,0,2,776.7588652460581,37234,"[-11.25, -11.25, 0]",101.9028091430664,0.0,90.40692901611328,1653452959083985920,
0,0.029,29,False,214,141,141,141,0,0,2,-314.39344648456415,37448,"[-10.75, 8.5, 0]",77.47389221191406,0.0,83.40477752685547,1653453044062850560,
0,0.029,29,False,132,142,142,142,0,0,2,-247.35670997957374,37580,"[7.0, -11.25, 0]",51.24724578857422,0.0,54.691165924072266,1653453100317456128,
0,0.029,29,False,227,143,143,143,0,0,2,-327.2015773038285,37807,"[-8.25, 9.0, 0]",102.57920837402344,0.0,88.87089538574219,1653453190657419776,
0,0.029,29,False,152,144,144,144,0,0,2,-274.84111128943607,37959,"[-8.75, -10.25, 0]",61.415042877197266,0.0,62.02332305908203,1653453254168921856,
0,0.029,29,False,129,145,145,145,0,0,2,-235.84189049246947,38088,"[-7.75, 9.0, 0]",68.79060363769531,0.0,53.75514602661133,1653453309466098944,
0,0.029,29,False,228,146,146,146,0,0,2,-344.5036676302925,38316,"[7.0, -10.75, 0]",85.49082946777344,0.0,91.63395690917969,1653453402577295872,
0,0.029,29,False,114,147,147,147,0,0,2,-244.1969554374748,38430,"[-11.25, -9.25, 0]",46.4422721862793,0.0,49.86106491088867,1653453453921710336,
0,0.029,29,False,404,148,148,148,0,0,2,-504.3150307335693,38834,"[8.0, -8.25, 0]",123.83100891113281,0.0,160.2814178466797,1653453615663877888,
0,0.029,29,False,176,149,149,149,0,0,2,-298.91945167216403,39010,"[-10.75, 9.0, 0]",60.053382873535156,0.0,72.22054290771484,1653453689532047360,
0,0.029,29,False,93,150,150,150,0,0,2,-190.44333506037876,39103,"[-11.25, 9.5, 0]",52.34012985229492,0.0,43.092918395996094,1653453734186792704,
0,0.029,29,False,78,151,151,151,0,0,2,-176.83386397365967,39181,"[-9.75, -8.25, 0]",54.49820327758789,0.0,36.7177848815918,1653453772367466496,
0,0.029,29,False,41,152,152,152,0,0,2,-141.97294948250718,39222,"[-9.25, 9.0, 0]",44.32633590698242,0.0,22.425477981567383,1653453796301430528,
0,0.029,29,False,569,153,153,153,0,0,2,-689.4778422521209,39791,"[8.5, 7.5, 0]",203.32164001464844,0.0,233.05096435546875,1653454030826926592,
0,0.029,29,False,750,154,154,154,0,0,2,-858.2619892784869,40541,"[10.5, -9.25, 0]",204.36891174316406,0.0,313.1856689453125,1653454345754959616,
0,0.03,30,True,38,155,155,155,0,0,2,972.6886761384642,40579,"[-7.75, 11.0, 0]",31.11653709411621,0.0,22.452478408813477,1653454370040247552,
0,0.03,30,False,188,156,156,156,0,0,2,-293.6857888994916,40767,"[-8.25, 9.0, 0]",71.12325286865234,0.0,84.46080017089844,1653454456064090880,
0,0.03,30,False,79,157,157,157,0,0,2,-200.90446444497726,40846,"[-11.25, -9.25, 0]",48.468353271484375,0.0,39.24083709716797,1653454496928111360,
0,0.03,30,False,89,158,158,158,0,0,2,-191.12241019166683,40935,"[8.0, 9.5, 0]",68.71991729736328,0.0,43.503929138183594,1653454541957848064,
0,0.031,31,True,64,159,159,159,0,0,2,946.9390212390028,40999,"[7.0, -7.75, 0]",30.4169864654541,0.0,33.825721740722656,1653454577250469376,
0,0.032,32,True,514,160,160,160,0,0,2,499.1321843519651,41513,"[7.5, 11.0, 0]",176.67539978027344,0.0,227.0658416748047,1653454805924864512,
0,0.032,32,False,107,161,161,161,0,0,2,-215.581304670377,41620,"[-7.75, 10.5, 0]",49.48688507080078,0.0,52.94512939453125,1653454860704443904,
0,0.032,32,False,120,162,162,162,0,0,2,-220.5727263200668,41740,"[9.5, 9.5, 0]",54.601566314697266,0.0,58.813255310058594,1653454921074460672,
0,0.032,32,False,120,162,162,162,0,0,2,-220.5727263200668,41740,"[9.5, 9.5, 0]",54.601566314697266,0.0,58.813255310058594,1653454921074460672,
0,0.032,32,False,194,164,164,164,0,0,3,-441.5158018343751,42079,"[8.5, -8.25, 0]",113.23042297363281,0.0,112.29239654541016,1653455125210076928,
0,0.032,32,False,24,165,165,165,0,0,3,-150.51576017619527,42103,"[-11.25, -8.25, 0]",40.23835754394531,0.0,19.50641632080078,1653455146434704128,
